"","Target.Name","CT_min","CT_max","Dilution_min","Dilution_max","NTC_CT","Y.intercept","Slope","R2","Efficiency","Y.intercept_adj","Slope_adj","R2_adj","Efficiency_adj"
"40","Noro GII",11.43,35.23,"PCP 10^0","PCP 10^6",NA,35.11,-3.85,1,0.82,35.01,-3.83,1,0.82
"41","PhHV gB",13.12,32.97,"PCP 10^1","PCP 10^6",NA,36.73,-3.83,1,0.82,36.73,-3.83,1,0.82
"42","Rotavirus",13.71,35.65,"PCP 10^0","PCP 10^6",NA,36.22,-3.65,1,0.88,36.7,-3.76,1,0.84
"43","Sapovirus",17.88,38.02,"PCP 10^1","PCP 10^6",NA,42.25,-4,1,0.78,42.25,-4,1,0.78
"44","SARS-CoV-2 N1",12.83,34.63,"PCP 10^0","PCP 10^6",10.66,35.17,-3.61,1,0.89,35.64,-3.72,1,0.86
"45","SARS-CoV-2 N2",12.91,37,"PCP 10^0","PCP 10^6",15,37.26,-4,1,0.78,37.48,-4.05,0.99,0.77
"46","STh",13.98,35.67,"PCP 10^0","PCP 10^6",NA,36.28,-3.57,0.99,0.91,36.81,-3.69,0.99,0.87
"47","STp",14.46,35.35,"PCP 10^0","PCP 10^6",NA,36.38,-3.52,0.99,0.92,37.27,-3.73,1,0.85
"48","stx1",15.32,33.46,"PCP 10^1","PCP 10^6",NA,37.57,-3.58,0.99,0.9,37.57,-3.58,0.99,0.9
"49","stx2",14.74,36.41,"PCP 10^0","PCP 10^6",NA,36.96,-3.56,1,0.91,37.44,-3.66,1,0.87
"50","STY0201",14.15,33.11,"PCP 10^1","PCP 10^6",NA,36.94,-3.67,0.99,0.87,36.94,-3.67,0.99,0.87
"51","Trichuris",13.4,31.99,"PCP 10^1","PCP 10^6",NA,36.02,-3.67,1,0.87,36.02,-3.67,1,0.87
"52","ttr",13.37,32,"PCP 10^1","PCP 10^6",NA,36,-3.64,0.99,0.88,36,-3.64,0.99,0.88
"53","tviB",9.3,27.7,"PCP 10^1","PCP 10^6",NA,31.89,-3.49,0.97,0.93,31.89,-3.49,0.97,0.93
"54","uidA",13.79,31.71,"PCP 10^1","PCP 10^6",NA,35.75,-3.51,0.99,0.93,35.75,-3.51,0.99,0.93
"55","virF",15.04,34.82,"PCP 10^1","PCP 10^6",NA,38.45,-3.81,1,0.83,38.45,-3.81,1,0.83
